"","ccode","year","ID","Nu_means","Nu_lower_80","Nu_upper_80","Nu_lower_95","Nu_upper_95","ura_i","metal_i","chemi_i","nitric_i","elect_i","nuke_i","explo_i","Non_HWR","HWR","test","reprocess","enrichment","submarines","explore","pursue","possession","Nu_infrastructure","Infrastructure_lower80","Infrastructure_upper80","Infrastructure_lower95","Infrastructure_upper95"
"794",20,1964,201964,1.042014568,0.732867423,1.34128065,0.565040247,1.486863244,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.20166590436177,0.769993445837899,1.63289890990562,0.5676678685398,1.84182138282454
"795",20,1965,201965,1.041188329,0.720675336,1.352128066,0.57569389,1.495966616,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19829411124,0.778372548747704,1.62363456832799,0.574893731912175,1.83152895708048
"796",20,1966,201966,1.038868303,0.728012477,1.344358526,0.573149189,1.480850727,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.20171351598837,0.778132717045897,1.6161037446604,0.579604934902338,1.83858252891578
"797",20,1967,201967,1.037742817,0.735800824,1.336668157,0.580697934,1.483033306,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.20638896960104,0.785915526417813,1.63368595423538,0.582758948417685,1.85483731376598
"798",20,1968,201968,1.043009795,0.738812723,1.343881421,0.592768554,1.484810334,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19963591382711,0.784364392109621,1.61473612228871,0.571197175697898,1.82129182017204
"799",20,1969,201969,1.042664691,0.736885037,1.344614619,0.575936261,1.48809868,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.20237827942881,0.783602910169966,1.62664947327571,0.574007221277226,1.82873199420253
"800",20,1970,201970,1.04326412,0.734970916,1.347999454,0.579396095,1.487172006,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19683816846152,0.77687056877267,1.62103065285098,0.592104878159273,1.82288391539762
"801",20,1971,201971,1.044914744,0.74162578,1.343633497,0.596455134,1.474876688,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.20076449781919,0.775072704582783,1.63387677225155,0.57671012020725,1.84198876099437
"802",20,1972,201972,1.040780968,0.734137287,1.345159595,0.582039742,1.482106508,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19458086857796,0.772414920753538,1.62111516711002,0.581139033035346,1.8316846729912
"803",20,1973,201973,1.042059466,0.73541876,1.339789855,0.578859148,1.468717586,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.20269955944079,0.78407091999523,1.62956035404446,0.577195363737029,1.83506093660026
"804",20,1974,201974,1.041947553,0.733579602,1.343036193,0.579785646,1.499102062,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19426298557329,0.781993670841654,1.61830189778613,0.593226914167929,1.81796904392515
"805",20,1975,201975,1.042860895,0.73778793,1.337187676,0.580309745,1.488868121,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19934170402487,0.778241620368749,1.62641347870861,0.56284100253109,1.84297070616958
"806",20,1976,201976,1.043105351,0.729113168,1.35368074,0.571312163,1.50298763,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.1983366752354,0.76501111539823,1.6394684086814,0.562248102664893,1.8588037213884
"807",20,1977,201977,1.042054109,0.729727636,1.345973547,0.580242263,1.485949391,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19955279424279,0.776926836572284,1.63003107466669,0.580119376317827,1.83245004409541
"808",20,1978,201978,1.041880254,0.729640026,1.35019219,0.588261064,1.494603031,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19842678903285,0.764266187416615,1.6322615168345,0.574390250108703,1.85728707876165
"809",20,1979,201979,1.041256141,0.737888825,1.34505684,0.57750128,1.486009504,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19880440829316,0.782293052471563,1.62020676381815,0.591267695824715,1.82028566277127
"810",20,1980,201980,1.038991112,0.733652401,1.345265106,0.575187684,1.473664816,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19884104028172,0.781894285758417,1.62183926739928,0.589390029198814,1.82001471295643
"811",20,1981,201981,1.043990454,0.730098667,1.348492864,0.579584633,1.493612065,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19671435076018,0.767192101234726,1.62864157776814,0.569189369042768,1.85232084239741
"812",20,1982,201982,1.041279991,0.725904392,1.350101925,0.569734504,1.491091467,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19720678335691,0.762966862119127,1.63257520044596,0.569749371118119,1.84083215124692
"813",20,1983,201983,1.039704882,0.72558287,1.34881417,0.579685092,1.492017695,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19958920768259,0.777823963786265,1.62536754837731,0.572666454619672,1.83876795721833
"814",20,1984,201984,1.041043479,0.733329131,1.35220139,0.574551866,1.477836661,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19667809268066,0.774613450210127,1.62030837822268,0.577459785639848,1.82312507914665
"815",20,1985,201985,1.041422831,0.736006567,1.337893136,0.583968384,1.485122647,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19736264477663,0.779250076274024,1.62172425687173,0.582546634376497,1.82479791889772
